Data Point,Temp,27.0, 28.0, 44.0
103,184.5898,1.0, 0.0, 1.0
103,184.5898,1.0, 1.0, 1.0
104,185.0357,0.0, 0.0, 1.0
104,185.0357,1.0, 0.0, 1.0
104,185.0357,1.0, 1.0, 1.0
105,185.4777,0.0, 0.0, 1.0
105,185.4777,1.0, 0.0, 1.0
105,185.4777,1.0, 1.0, 1.0
106,185.9069,0.0, 0.0, 1.0
106,185.9069,1.0, 0.0, 1.0
106,185.9069,1.0, 1.0, 1.0
107,186.4914,0.0, 0.0, 1.0
107,186.4914,1.0, 0.0, 1.0
107,186.4914,1.0, 1.0, 1.0
108,187.0203,0.0, 0.0, 1.0
108,187.0203,1.0, 0.0, 1.0
108,187.0203,1.0, 1.0, 1.0
109,187.6229,0.0, 0.0, 1.0
109,187.6229,1.0, 0.0, 1.0
109,187.6229,1.0, 1.0, 1.0
110,188.1595,0.0, 0.0, 1.0
110,188.1595,1.0, 0.0, 1.0
110,188.1595,1.0, 1.0, 1.0
111,188.6697,0.0, 0.0, 1.0
111,188.6697,1.0, 0.0, 1.0
111,188.6697,1.0, 1.0, 1.0
112,189.3571,0.0, 0.0, 1.0
112,189.3571,1.0, 0.0, 1.0
112,189.3571,1.0, 1.0, 1.0
113,189.9038,0.0, 0.0, 1.0
113,189.9038,1.0, 0.0, 1.0
113,189.9038,1.0, 1.0, 1.0
114,190.5653,0.0, 0.0, 1.0
114,190.5653,1.0, 0.0, 1.0
114,190.5653,1.0, 1.0, 1.0
115,191.2235,0.0, 0.0, 1.0
115,191.2235,1.0, 0.0, 1.0
115,191.2235,1.0, 1.0, 1.0
116,191.9041,0.0, 0.0, 1.0
116,191.9041,1.0, 0.0, 1.0
116,191.9041,1.0, 1.0, 1.0
117,192.46,0.0, 0.0, 1.0
117,192.46,1.0, 0.0, 1.0
117,192.46,1.0, 1.0, 1.0
118,193.0445,0.0, 0.0, 1.0
118,193.0445,1.0, 0.0, 1.0
118,193.0445,1.0, 1.0, 1.0
119,193.7611,0.0, 0.0, 1.0
119,193.7611,1.0, 0.0, 1.0
119,193.7611,1.0, 1.0, 1.0
120,194.4817,0.0, 0.0, 1.0
120,194.4817,1.0, 0.0, 1.0
120,194.4817,1.0, 1.0, 1.0
121,195.1538,0.0, 0.0, 1.0
121,195.1538,1.0, 0.0, 1.0
121,195.1538,1.0, 1.0, 1.0
122,195.7753,0.0, 0.0, 1.0
122,195.7753,1.0, 0.0, 1.0
122,195.7753,1.0, 1.0, 1.0
123,196.417,0.0, 0.0, 1.0
123,196.417,1.0, 0.0, 1.0
123,196.417,1.0, 1.0, 1.0
124,197.0638,0.0, 0.0, 1.0
124,197.0638,1.0, 0.0, 1.0
124,197.0638,1.0, 1.0, 1.0
125,197.6513,0.0, 0.0, 1.0
125,197.6513,1.0, 0.0, 1.0
125,197.6513,1.0, 1.0, 1.0
126,198.3369,0.0, 0.0, 1.0
126,198.3369,1.0, 0.0, 1.0
126,198.3369,1.0, 1.0, 1.0
127,199.1706,0.0, 0.0, 1.0
127,199.1706,1.0, 0.0, 1.0
127,199.1706,1.0, 1.0, 1.0
128,199.7659,0.0, 0.0, 1.0
128,199.7659,1.0, 0.0, 1.0
128,199.7659,1.0, 1.0, 1.0
