Ethylene,,,,,,,,,,,,,,,
Time,m2,m4,m14,m16,m18,m25,m26,m27,m28,m29,m30,m32,m40,m44,m15
6276.25,6.22E-11,4.84E-13,2.49E-11,3.41E-12,7.90E-11,1.21E-09,5.60E-09,1.25E-10,7.23E-11,5.25E-12,7.03E-13,1.12E-12,1.57E-08,1.59E-11,4.80E-11
6279.36,6.18E-11,4.89E-13,2.46E-11,3.31E-12,7.92E-11,1.21E-09,5.59E-09,1.24E-10,7.22E-11,5.24E-12,6.99E-13,1.12E-12,1.56E-08,1.60E-11,4.83E-11
6282.44,6.18E-11,5.17E-13,2.50E-11,3.44E-12,7.82E-11,1.22E-09,5.59E-09,1.25E-10,7.18E-11,5.30E-12,7.30E-13,1.23E-12,1.56E-08,1.60E-11,4.86E-11
6285.55,6.19E-11,4.84E-13,2.48E-11,3.38E-12,7.81E-11,1.22E-09,5.60E-09,1.24E-10,7.21E-11,5.24E-12,7.09E-13,1.13E-12,1.56E-08,1.59E-11,4.81E-11
6288.62,6.23E-11,5.03E-13,2.46E-11,3.49E-12,7.86E-11,1.22E-09,5.60E-09,1.25E-10,7.24E-11,5.23E-12,7.05E-13,1.16E-12,1.56E-08,1.57E-11,4.85E-11
6291.81,6.20E-11,5.00E-13,2.46E-11,3.39E-12,7.88E-11,1.22E-09,5.60E-09,1.25E-10,7.24E-11,5.22E-12,7.12E-13,1.15E-12,1.57E-08,1.59E-11,4.85E-11
6294.92,6.18E-11,5.04E-13,2.49E-11,3.36E-12,7.87E-11,1.22E-09,5.60E-09,1.26E-10,7.18E-11,5.19E-12,6.84E-13,1.14E-12,1.57E-08,1.59E-11,4.81E-11
6298.02,6.22E-11,5.02E-13,2.51E-11,3.38E-12,7.88E-11,1.22E-09,5.60E-09,1.25E-10,7.19E-11,5.31E-12,7.25E-13,1.17E-12,1.57E-08,1.56E-11,4.83E-11
6301.11,6.18E-11,4.96E-13,2.51E-11,3.25E-12,7.92E-11,1.22E-09,5.60E-09,1.25E-10,7.25E-11,5.14E-12,6.73E-13,1.16E-12,1.57E-08,1.59E-11,4.82E-11
6304.2,6.20E-11,4.95E-13,2.47E-11,3.45E-12,7.86E-11,1.22E-09,5.61E-09,1.25E-10,7.24E-11,5.12E-12,6.96E-13,1.14E-12,1.57E-08,1.56E-11,4.83E-11
6307.31,6.20E-11,4.83E-13,2.47E-11,3.42E-12,7.82E-11,1.22E-09,5.60E-09,1.25E-10,7.24E-11,5.18E-12,7.19E-13,1.15E-12,1.56E-08,1.57E-11,4.81E-11
6310.41,6.19E-11,4.83E-13,2.48E-11,3.40E-12,7.82E-11,1.22E-09,5.60E-09,1.24E-10,7.22E-11,5.22E-12,7.05E-13,1.16E-12,1.57E-08,1.58E-11,4.80E-11
6313.5,6.21E-11,4.98E-13,2.49E-11,3.35E-12,7.84E-11,1.22E-09,5.60E-09,1.25E-10,7.28E-11,5.29E-12,6.85E-13,1.16E-12,1.57E-08,1.58E-11,4.84E-11
6316.59,6.17E-11,4.86E-13,2.48E-11,3.32E-12,7.87E-11,1.22E-09,5.60E-09,1.25E-10,7.24E-11,5.22E-12,6.82E-13,1.21E-12,1.57E-08,1.58E-11,4.83E-11
6319.69,6.18E-11,4.88E-13,2.50E-11,3.24E-12,7.82E-11,1.22E-09,5.60E-09,1.25E-10,7.19E-11,5.29E-12,7.29E-13,1.25E-12,1.56E-08,1.57E-11,4.81E-11
6322.86,6.17E-11,4.88E-13,2.51E-11,3.37E-12,7.86E-11,1.22E-09,5.60E-09,1.25E-10,7.24E-11,5.25E-12,7.03E-13,1.15E-12,1.57E-08,1.58E-11,4.86E-11
6325.94,6.20E-11,4.70E-13,2.49E-11,3.32E-12,7.84E-11,1.22E-09,5.60E-09,1.25E-10,7.17E-11,5.26E-12,7.35E-13,1.14E-12,1.57E-08,1.55E-11,4.81E-11
6329.05,6.18E-11,4.89E-13,2.47E-11,3.31E-12,7.85E-11,1.22E-09,5.60E-09,1.25E-10,7.26E-11,5.26E-12,6.85E-13,1.13E-12,1.57E-08,1.55E-11,4.83E-11
6332.14,6.21E-11,4.95E-13,2.47E-11,3.38E-12,7.84E-11,1.22E-09,5.60E-09,1.25E-10,7.26E-11,5.21E-12,7.13E-13,1.14E-12,1.57E-08,1.56E-11,4.85E-11
6335.23,6.15E-11,4.91E-13,2.51E-11,3.26E-12,7.82E-11,1.21E-09,5.60E-09,1.25E-10,7.22E-11,5.23E-12,7.01E-13,1.17E-12,1.57E-08,1.58E-11,4.80E-11
6338.34,6.13E-11,4.79E-13,2.48E-11,3.35E-12,7.87E-11,1.22E-09,5.60E-09,1.24E-10,7.20E-11,5.16E-12,6.82E-13,1.15E-12,1.57E-08,1.56E-11,4.82E-11
6341.44,6.17E-11,4.79E-13,2.50E-11,3.41E-12,7.86E-11,1.22E-09,5.61E-09,1.25E-10,7.22E-11,5.18E-12,7.03E-13,1.15E-12,1.57E-08,1.56E-11,4.81E-11
6344.59,6.15E-11,5.01E-13,2.46E-11,3.26E-12,7.82E-11,1.22E-09,5.61E-09,1.25E-10,7.26E-11,5.29E-12,6.83E-13,1.16E-12,1.57E-08,1.56E-11,4.84E-11
6347.7,6.16E-11,4.91E-13,2.48E-11,3.38E-12,7.80E-11,1.22E-09,5.60E-09,1.24E-10,7.21E-11,5.20E-12,6.72E-13,1.23E-12,1.57E-08,1.56E-11,4.85E-11
6350.8,6.10E-11,4.97E-13,2.49E-11,3.41E-12,7.84E-11,1.22E-09,5.60E-09,1.25E-10,7.24E-11,5.20E-12,6.94E-13,1.15E-12,1.57E-08,1.57E-11,4.82E-11
6353.95,6.15E-11,4.88E-13,2.52E-11,3.43E-12,7.90E-11,1.22E-09,5.60E-09,1.25E-10,7.20E-11,5.28E-12,6.85E-13,1.15E-12,1.57E-08,1.59E-11,4.85E-11
6357.05,6.17E-11,5.10E-13,2.49E-11,3.37E-12,7.83E-11,1.22E-09,5.60E-09,1.24E-10,7.23E-11,5.28E-12,7.18E-13,1.16E-12,1.57E-08,1.54E-11,4.84E-11
6360.14,6.16E-11,4.83E-13,2.54E-11,3.44E-12,7.82E-11,1.22E-09,5.61E-09,1.25E-10,7.17E-11,5.26E-12,6.94E-13,1.18E-12,1.57E-08,1.57E-11,4.78E-11
