Temp	m2.0	m18.0	m26.0	m27.0	m28.0	m29.0	m31.0	m39.0	m41.0	m44.0	m45.0	m56.0	m57.0	m70.0
177.0193	1.294578	0.183661	0.151936	0.168322	4.151789	0.230448	0.058473	0.05348	0.050795	1.250479	0.038093	0.028831	0.002741	-0.008775
177.032	1.238356	0.219365	0.135364	0.13327	4.109221	0.249895	0.04787	0.032014	0.072009	1.269413	0.013297	-0.002916	0.020613	0.020578
176.9611	1.250798	0.197363	0.138994	0.159642	4.117633	0.237082	0.076604	0.042529	0.050902	1.235856	0.03955	0.022583	-0.003561	-0.008184
176.8494	1.228348	0.205289	0.12244	0.144369	4.169848	0.250999	0.042206	0.039805	0.076501	1.263757	0.004335	0.000784	0.023665	0.018725
176.9185	1.229341	0.177632	0.153623	0.155968	4.135203	0.246456	0.070788	0.041407	0.046912	1.233356	0.040789	0.018499	-0.007142	0.0043
176.8734	1.340069	0.210891	0.137561	0.140024	4.171226	0.253071	0.040816	0.035897	0.085444	1.262022	0.006706	0.007626	0.020098	0.020293
176.9646	1.231841	0.200751	0.155239	0.139562	4.149715	0.233503	0.064914	0.043871	0.043367	1.239736	0.042867	0.015143	-0.00921	0.004775
176.9394	1.210251	0.205223	0.131219	0.150997	4.173222	0.238292	0.031823	0.047233	0.073367	1.253374	0.011003	0.006485	0.021429	0.011785
176.8496	1.272793	0.198273	0.150795	0.149911	4.162038	0.251177	0.06828	0.040457	0.041528	1.242271	0.038618	0.014096	-0.004439	0.009599
176.9133	1.307116	0.179011	0.129379	0.160879	4.18804	0.239646	0.042649	0.047326	0.073208	1.230095	0.007183	0.018412	0.023415	-0.000296
176.7969	1.249491	0.202979	0.141403	0.143396	4.163271	0.262939	0.072293	0.030267	0.046075	1.290452	0.039652	0.004177	-0.004291	0.014181
176.792	1.283734	0.186773	0.130661	0.168401	4.204425	0.233978	0.043561	0.053006	0.078949	1.257212	0.008641	0.017644	0.016181	-0.002297
176.7845	1.212842	0.20666	0.147751	0.141478	4.147809	0.260095	0.068434	0.024055	0.03786	1.291917	0.042094	-0.000869	-0.004152	0.013438
176.8007	1.261457	0.179124	0.122786	0.166719	4.142863	0.242397	0.039958	0.051004	0.073665	1.236158	0.017716	0.017994	0.01316	0.00147
176.9141	1.190949	0.205254	0.133118	0.127029	4.181236	0.258358	0.05987	0.031175	0.041231	1.258072	0.037306	0.000191	0.001387	0.01664
176.8142	1.288567	0.180742	0.128684	0.164152	4.21232	0.222155	0.047629	0.05772	0.071041	1.220632	0.022866	0.01941	0.008231	-0.007014
176.7997	1.247151	0.21952	0.133477	0.13048	4.160922	0.27117	0.061571	0.023713	0.054014	1.258728	0.028936	-0.002131	0.00667	0.019687
176.7839	1.250088	0.178352	0.140661	0.174482	4.198113	0.224231	0.053848	0.058821	0.06263	1.249419	0.019022	0.023949	0.007555	-0.012133
176.8388	1.235141	0.219279	0.135817	0.130132	4.174534	0.266462	0.064286	0.023689	0.053512	1.278171	0.027451	-0.00135	0.006177	0.021267
176.9101	1.283699	0.175697	0.151079	0.170422	4.218548	0.218117	0.057259	0.054793	0.064641	1.27192	0.022268	0.028258	0.00384	-0.008905
177.0272	1.282399	0.214512	0.144259	0.127131	4.231625	0.26514	0.062959	0.030626	0.056134	1.291223	0.02464	0.000174	0.009204	0.021995
177.0201	1.297311	0.173941	0.150964	0.168316	4.192321	0.222913	0.059602	0.059399	0.063964	1.26011	0.029596	0.018894	0.001099	-0.004034
176.969	1.249948	0.2053	0.138207	0.140927	4.178667	0.239919	0.052877	0.029801	0.063056	1.246202	0.018617	0.002911	0.01762	0.018504
177.0026	1.18445	0.187886	0.156678	0.154258	4.147623	0.231467	0.070285	0.052885	0.045849	1.251376	0.031946	0.013844	-0.002106	-0.00284
176.9059	1.304356	0.212686	0.126112	0.134418	4.184258	0.253151	0.045291	0.038386	0.070893	1.289884	0.012746	-3.00E-06	0.025176	0.017628
