Temp	Acetaldehyde Concentration Relative to CO	(E) 2-Butenal (Crotonaldehyde Concentration Relative to CO	CO Concentration Relative to CO	CO2 Concentration Relative to CO	Ethylene (Ethene) Concentration Relative to CO	Ethanol Concentration Relative to CO	H2 Concentration Relative to CO	H2O Concentration Relative to CO
487.1866	0.024286607567718516	0.08098816734917182	0.14178137347834774	0.0693400755688297	0.035874574900105205	0.005136233733430721	0.022464734607827407	0.01666482788643076
487.9361	0.018549573426319608	0.06453712753284176	0.14202687440968462	0.06598295161754836	0.04015670837243315	0.008982448948859537	0.024911157430778354	0.015141110902905743
488.7606	0.01349333091304303	0.037558642214188025	0.1406673724595683	0.059529059037989655	0.045401364381221394	0.011526327645531697	0.024969235794590348	0.014576579878324338
489.6454	0.01200537224568872	0.01613739606783667	0.14044362001510946	0.05846214558156583	0.031186495351351533	0.013978768759917581	0.022890825770858686	0.01369965451029499
490.5314	0.012671309543067943	0.01701313279908291	0.13993509710084057	0.05941680494724598	0.029051482466250233	0.01621072403544669	0.020181385294591667	0.012288839116681131
491.4954	0.014936230063447553	0.016268762787888098	0.14307550968893717	0.05935417208578532	0.030536424253379556	0.017600571396463868	0.01974733198083849	0.012018013306263118
492.2228	0.014360676084750444	0.0211238303234806	0.14198030723346036	0.061551353209842306	0.030943937324610378	0.016185474574661705	0.020559120834398262	0.016747672146558576
493.0927	0.01570603626324907	0.024158944902320977	0.14191509725531284	0.06063642428813589	0.02933408294964083	0.014107067789918038	0.020968380458017785	0.013761294327029099
493.9979	0.01927053536036553	0.032183225250761574	0.1395860757807474	0.06153508390148016	0.030682805849724274	0.012448893591636681	0.02106779766550056	0.014070314648538345
494.891	0.02097001123760877	0.03886824305599433	0.14133803111033227	0.05985844026725815	0.04084799140857057	0.012068680887920706	0.0208628848943983	0.014589056336437449
495.8435	0.022622121243489977	0.051924317744595966	0.14015630022627412	0.06038580662724722	0.038025418003749416	0.01034150120841694	0.020125653082915296	0.015772068338134177
496.6542	0.022628348844420273	0.06554052157979816	0.13965409691958072	0.061960884824993886	0.03607627942007084	0.005340234894267888	0.0201197109937863	0.017726657056819195
497.5842	0.022440723480342005	0.07018254422288733	0.138609143287843	0.06451317856635225	0.03551383718607532	0.004249560852079242	0.02215059850747814	0.020785722887607456
498.449	0.021509744622784474	0.06759346772493934	0.13863934685119406	0.06435502210247977	0.03359708458061266	0.003313453095290391	0.023259672016397757	0.021743568884431356
