Temp,Acetaldehyde Concentration(bar),(E) 2-Butenal (Crotonaldehyde Concentration(bar),CO Concentration(bar),CO2 Concentration(bar),Ethylene (Ethene) Concentration(bar),Ethanol Concentration(bar),Crotyl Alcohol Concentration(bar),H2 Concentration(bar),H2O Concentration(bar)
176.8105,0.011275764007608526,0.002365599788301973,0.030658530979529648,0.015786552894968386,0.0033884932106451352,8.65913541518206e-06,0.00041081136415391294,0.008813515703407278,0.0029191023324367667
176.8207,0.011305705268710437,0.002366293076514501,0.030657861088933584,0.01578403341058882,0.00338841855487414,8.66092185472072e-06,0.00041056487076556516,0.008813569605116768,0.0029195646115797486
176.7429,0.011077329767364998,0.002361005054658158,0.030662970646617226,0.01580325065418961,0.003388987988107737,8.647295874710148e-06,0.00041244498700218445,0.008813158472469875,0.0029160386000773976
176.7739,0.011168327717772599,0.0023631121070687845,0.030660934704609594,0.015795593397741982,0.0033887610931174887,8.652725249778626e-06,0.00041169584042975184,0.008813322291390875,0.002917443566100186
176.8874,0.011501497632974464,0.0023708266376689787,0.03065348052983979,0.01576755795881285,0.0033879303646854432,8.672603768174521e-06,0.00040895299733391193,0.00881392208002098,0.002922587554602972
176.8942,0.01152145847370891,0.0023712888298106642,0.03065303393610909,0.015765878302559905,0.003387880594171461,8.673794727866957e-06,0.0004087886684083464,0.008813958014493972,0.002922895740698293
176.8326,0.011340636739995937,0.0023671019127624537,0.030657079549904855,0.015781094012146054,0.0033883314564746633,8.663006034182494e-06,0.0004102772951458241,0.008813632490444505,0.002920103937246561
176.8189,0.011300421516751338,0.002366170731535822,0.03065797930492112,0.015784478025479335,0.0033884317294219607,8.660606600684492e-06,0.0004106083695988023,0.008813560093050388,0.0029194830329074594
176.8509,0.011394354884913919,0.002368345753379046,0.03065587768736488,0.015776573760759232,0.003388197515238482,8.666211116884206e-06,0.00040983505700790507,0.008813729196452708,0.0029209333204148523
176.8443,0.0113749811277304,0.0023678971551238824,0.030656311145985864,0.01577820401535774,0.0033882458219138215,8.665055185418017e-06,0.00040999455272977764,0.008813694318875978,0.002920634198616451
176.9281,0.011620969135606155,0.0023735929935758304,0.03065080753501045,0.015757504722122045,0.003387632473520835,8.679732012216033e-06,0.00040796944038236463,0.008814137158410803,0.002924432139026438
176.9268,0.011617153092524554,0.0023735046333134492,0.03065089291322368,0.01575782583287627,0.003387641988472039,8.679504328745418e-06,0.00040800085620637034,0.008814130288585085,0.0029243732210964507
176.8664,0.011439853860117718,0.0023693992795843595,0.030654859716361067,0.015772745132535404,0.0033880840677433534,8.668925804418448e-06,0.0004094604837216888,0.008813811105913205,0.002921635803426245
176.914,0.011579579745259567,0.002372634624576157,0.030651733560246162,0.015760987538764287,0.003387735674145427,8.677262522265531e-06,0.0004083101812427295,0.008814062647224157,0.002923793106093492
176.883,0.011488581794852059,0.002370527572165534,0.030653769502253778,0.015768644795211895,0.003387962569135675,8.671833147197056e-06,0.0004090593278151605,0.008813898828303158,0.0029223881400707056
176.9234,0.011607172672157327,0.0023732735372426067,0.030651116210089008,0.015758665661002747,0.0033876668737290254,8.678908848899199e-06,0.00040808302066915264,0.008814112321348587,0.002924219128048789
176.8343,0.011345626950179552,0.0023672174607978747,0.030656967901472182,0.015780674098082818,0.003388319013846171,8.663303774105603e-06,0.0004102362129144325,0.008813641474062753,0.002920180983770391
176.8869,0.01150002992409688,0.0023707926529526768,0.0306535133676141,0.015767681462949098,0.0033879340242820607,8.672516197608896e-06,0.00040896508034314507,0.008813919437780317,0.002922564893860669
176.8666,0.011440440943668648,0.002369412873470881,0.03065484658125136,0.015772695730880984,0.0033880826039047207,8.668960832644695e-06,0.00040945565051799584,0.00881381216280947,0.0029216448677231673
176.8004,0.0112461162882822,0.002364913297032706,0.03065919430257084,0.015789047678520678,0.0033885671344968016,8.65736648975652e-06,0.00041105544094041516,0.00881346233014592,0.0029186445854422448
